Name,Price,Score,Rating,Reviews,Address,Link,Latitude,Longitude
SWEETS - Van Hallbrug,943,8.7,Fabulous,82,"31 Kostverlorenstraat, Westerpark, 1052 GT Amsterdam, Netherlands",https://www.booking.com/hotel/nl/sweets-van-hallbrug.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=449&sr_order=popularity&srpvid=6e21091759f50003&srepoch=1710292657&all_sr_blocks=515913801_243294873_0_0_0&highlighted_blocks=515913801_243294873_0_0_0&matching_block_id=515913801_243294873_0_0_0&sr_pri_blocks=515913801_243294873_0_0_0__86281&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,52.3788857,4.8729792
The Manor Amsterdam,366,8.3,Very Good,2373,"Linnaeusstraat 89, Oost, 1093 EK Amsterdam, Netherlands",https://www.booking.com/hotel/nl/hotel-the-manor-amsterdam.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=55&sr_order=popularity&srpvid=5b0c09150c1d0170&srepoch=1710292653&all_sr_blocks=28108901_91470956_2_2_0&highlighted_blocks=28108901_91470956_2_2_0&matching_block_id=28108901_91470956_2_2_0&sr_pri_blocks=28108901_91470956_2_2_0__39700&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,52.3591642,4.9263629
Weber Hotel 117,724,7.9,Good,420,"Leidsegracht 117, Amsterdam City Centre, 1017 ND Amsterdam, Netherlands",https://www.booking.com/hotel/nl/leidsegracht.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=236&sr_order=popularity&srpvid=03ce0916535f006e&srepoch=1710292654&all_sr_blocks=56724708_368827565_2_0_0&highlighted_blocks=56724708_368827565_2_0_0&matching_block_id=56724708_368827565_2_0_0&sr_pri_blocks=56724708_368827565_2_0_0__66244&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,52.3651428,4.8805043
Hotel Levell,359,8.2,Very Good,13875,"353 Hullenbergweg, Zuidoost, 1101 CP Amsterdam, Netherlands",https://www.booking.com/hotel/nl/lowell.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=353&sr_order=popularity&srpvid=a9770917d55c0035&srepoch=1710292655&all_sr_blocks=237470704_101218161_0_2_0&highlighted_blocks=237470704_101218161_0_2_0&matching_block_id=237470704_101218161_0_2_0&sr_pri_blocks=237470704_101218161_0_2_0__32832&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,52.3042775,4.9508911
Joy Hotel,252,7.4,Good,7502,"385 Hullenbergweg, Zuidoost, 1101 CS Amsterdam, Netherlands",https://www.booking.com/hotel/nl/joy.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=389&sr_order=popularity&srpvid=69b20917fe2f025a&srepoch=1710292656&all_sr_blocks=257037502_104386081_0_2_0&highlighted_blocks=257037502_104386081_0_2_0&matching_block_id=257037502_104386081_0_2_0&sr_pri_blocks=257037502_104386081_0_2_0__29760&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,52.3052562,4.9504125
Swissôtel Amsterdam,596,8.2,Very Good,3129,"Damrak 96, Amsterdam City Centre, 1012 LP Amsterdam, Netherlands",https://www.booking.com/hotel/nl/swissotel.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=417&sr_order=popularity&srpvid=c86209176f0301fe&srepoch=1710292657&all_sr_blocks=1050201_95128977_2_2_0&highlighted_blocks=1050201_95128977_2_2_0&matching_block_id=1050201_95128977_2_2_0&sr_pri_blocks=1050201_95128977_2_2_0__54560&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,52.373602,4.893368
Jupiter Hotel,525,7.9,Good,487,"2e Helmersstraat 14, Oud-West, 1054 CJ Amsterdam, Netherlands",https://www.booking.com/hotel/nl/jupiter.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=308&sr_order=popularity&srpvid=10e209168ad901e3&srepoch=1710292655&all_sr_blocks=1204701_96595405_0_0_0&highlighted_blocks=1204701_96595405_0_0_0&matching_block_id=1204701_96595405_0_0_0&sr_pri_blocks=1204701_96595405_0_0_0__48000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,52.3649127,4.8777864
Mister Highland Hotel,722,8.5,Very Good,264,"Rokin 73, Amsterdam City Centre, 1012 KL Amsterdam, Netherlands",https://www.booking.com/hotel/nl/rokin.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=179&sr_order=popularity&srpvid=8aa0091509450004&srepoch=1710292653&all_sr_blocks=1024608_334753576_0_2_0&highlighted_blocks=1024608_334753576_0_2_0&matching_block_id=1024608_334753576_0_2_0&sr_pri_blocks=1024608_334753576_0_2_0__66063&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,52.3706524,4.8931387
Motel One Amsterdam,380,8.6,Fabulous,9464,"Europaboulevard 23, Zuideramstel, 1079 PC Amsterdam, Netherlands",https://www.booking.com/hotel/nl/motel-one-amsterdam-rai.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=335&sr_order=popularity&srpvid=4fac0917547500ba&srepoch=1710292655&all_sr_blocks=143840302_381305866_2_2_0&highlighted_blocks=143840302_381305866_2_2_0&matching_block_id=143840302_381305866_2_2_0&sr_pri_blocks=143840302_381305866_2_2_0__34800&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,52.3385064,4.8929719
Bunk Hotel Amsterdam,383,8.6,Fabulous,4291,"2 Hagedoornplein, Amsterdam Noord, 1031 BV Amsterdam, Netherlands",https://www.booking.com/hotel/nl/bunk.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=326&sr_order=popularity&srpvid=4fac0917547500ba&srepoch=1710292655&all_sr_blocks=322674815_347224601_0_34_0&highlighted_blocks=322674815_347224601_0_34_0&matching_block_id=322674815_347224601_0_34_0&sr_pri_blocks=322674815_347224601_0_34_0__35076&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,52.3881233,4.9141297
