Name,Price,Score,Rating,Reviews,Address,Link,Latitude,Longitude
Hotel-Pension Cortina,240,6.1,Pleasant,1684,"Kantstr. 140, Charlottenburg-Wilmersdorf, 10623 Berlin, Germany",https://www.booking.com/hotel/de/cortina.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&dest_id=2285&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=172&sr_order=popularity&srpvid=f3830d8280430220&srepoch=1710294919&all_sr_blocks=6274105_332561908_0_0_0&highlighted_blocks=6274105_332561908_0_0_0&matching_block_id=6274105_332561908_0_0_0&sr_pri_blocks=6274105_332561908_0_0_0__22000&from=searchresults#hotelTmpl,52.505789,13.3189097
ADELANTE Boutique Hotel,328,9.0,Superb,1016,"Borsigstr. 1, Mitte, 10115 Berlin, Germany",https://www.booking.com/hotel/de/adelante.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&dest_id=2285&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=88&sr_order=popularity&srpvid=76670d82307f007a&srepoch=1710294919&all_sr_blocks=18365603_378060461_2_2_0&highlighted_blocks=18365603_378060461_2_2_0&matching_block_id=18365603_378060461_2_2_0&sr_pri_blocks=18365603_378060461_2_2_0__30000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,52.5284085,13.3913037
Living Hotel Großer Kurfürst,240,8.4,Very Good,3956,"Neue Rossstr. 11-12, Mitte, 10179 Berlin, Germany",https://www.booking.com/hotel/de/kurfuerstderag.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&dest_id=2285&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=76&sr_order=popularity&srpvid=76670d82307f007a&srepoch=1710294919&all_sr_blocks=6015430_91459426_2_2_0&highlighted_blocks=6015430_91459426_2_2_0&matching_block_id=6015430_91459426_2_2_0&sr_pri_blocks=6015430_91459426_2_2_0__23845&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,52.5122739,13.4088455
"Holiday Inn Express - Berlin - Alexanderplatz, an IHG Hotel",269,8.3,Very Good,9950,"Stralauer Strasse 45, Mitte, 10179 Berlin, Germany",https://www.booking.com/hotel/de/holiday-inn-express-berlin-alexanderplatz.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&dest_id=2285&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=31&sr_order=popularity&srpvid=9c580d822ae600fa&srepoch=1710294919&all_sr_blocks=215431106_376233971_2_1_0&highlighted_blocks=215431106_376233971_2_1_0&matching_block_id=215431106_376233971_2_1_0&sr_pri_blocks=215431106_376233971_2_1_0__24600&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,52.51563489999999,13.412093
Midi Inn Parkhotel Mitte,269,7.7,Good,449,"Veteranenstr. 10, Mitte, 10119 Berlin, Germany",https://www.booking.com/hotel/de/midi-inn.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&dest_id=2285&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=174&sr_order=popularity&srpvid=f3830d8280430220&srepoch=1710294919&all_sr_blocks=6945915_88926935_0_0_0&highlighted_blocks=6945915_88926935_0_0_0&matching_block_id=6945915_88926935_0_0_0&sr_pri_blocks=6945915_88926935_0_0_0__24600&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,52.532667,13.4019829
TITANIC Comfort Mitte,210,7.8,Good,8863,"Elisabeth-Mara-Straße 4, Mitte, 10117 Berlin, Germany",https://www.booking.com/hotel/de/titanic-comfort-berlin-mitte.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&dest_id=2285&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=27&sr_order=popularity&srpvid=9c580d822ae600fa&srepoch=1710294919&all_sr_blocks=28986901_330097987_2_2_0&highlighted_blocks=28986901_330097987_2_2_0&matching_block_id=28986901_330097987_2_2_0&sr_pri_blocks=28986901_330097987_2_2_0__19184&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,52.51025989999999,13.4042248
Hotel Seifert Berlin am Kurfürstendamm,329,8.0,Very Good,836,"Uhlandstr. 162, Charlottenburg-Wilmersdorf, 10719 Berlin, Germany",https://www.booking.com/hotel/de/seifert-berlin.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&dest_id=2285&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=169&sr_order=popularity&srpvid=f3830d8280430220&srepoch=1710294919&all_sr_blocks=6399702_96266674_2_2_0&highlighted_blocks=6399702_96266674_2_2_0&matching_block_id=6399702_96266674_2_2_0&sr_pri_blocks=6399702_96266674_2_2_0__30100&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,52.49955869999999,13.3251522
Dietrich-Bonhoeffer-Hotel Berlin Mitte,413,8.1,Very Good,1372,"Ziegelstr. 30, Mitte, 10117 Berlin, Germany",https://www.booking.com/hotel/de/dietrich-bonhoeffer.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&dest_id=2285&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=159&sr_order=popularity&srpvid=f3830d8280430220&srepoch=1710294919&all_sr_blocks=6451605_359043974_0_1_0&highlighted_blocks=6451605_359043974_0_1_0&matching_block_id=6451605_359043974_0_1_0&sr_pri_blocks=6451605_359043974_0_1_0__37800&from=searchresults#hotelTmpl,52.523662,13.3902777
Hollywood Media Hotel am Kurfürstendamm,196,8.3,Very Good,8841,"Kurfürstendamm 202, Charlottenburg-Wilmersdorf, 10719 Berlin, Germany",https://www.booking.com/hotel/de/hollywood-media.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&dest_id=2285&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=41&sr_order=popularity&srpvid=9c580d822ae600fa&srepoch=1710294919&all_sr_blocks=6678702_338459225_2_2_0&highlighted_blocks=6678702_338459225_2_2_0&matching_block_id=6678702_338459225_2_2_0&sr_pri_blocks=6678702_338459225_2_2_0__17978&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,52.50157549999999,13.3213573
Hilton Berlin,348,7.7,Good,2878,"Mohrenstr. 30, Mitte, 10117 Berlin, Germany",https://www.booking.com/hotel/de/hilton-berlin.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&dest_id=2285&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=46&sr_order=popularity&srpvid=9c580d822ae600fa&srepoch=1710294919&all_sr_blocks=6417514_338448107_2_2_0&highlighted_blocks=6417514_338448107_2_2_0&matching_block_id=6417514_338448107_2_2_0&sr_pri_blocks=6417514_338448107_2_2_0__31892&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,52.5125493,13.3932534
