Name,Price,Score,Rating,Reviews,Address,Link,Latitude,Longitude
Unique Space for great stays,391,N/A,N/A,N/A,"Rue Camille Lemonnier, Elsene / Ixelles, 1180 Brussels, Belgium",https://www.booking.com/hotel/be/unique-space-for-great-stays.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&dest_id=-1955538&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=284&sr_order=popularity&srpvid=0d8b0a3ac243011c&srepoch=1710293238&all_sr_blocks=1160100301_388712326_3_0_0&highlighted_blocks=1160100301_388712326_3_0_0&matching_block_id=1160100301_388712326_3_0_0&sr_pri_blocks=1160100301_388712326_3_0_0__35800&from=searchresults#hotelTmpl,50.8173975,4.3598394
NH Collection Brussels Centre,372,8.4,Very Good,6052,"Boulevard Adolphe Max 7, 1000 Brussels, Belgium",https://www.booking.com/hotel/be/nh-collection-brussels-centre.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&dest_id=-1955538&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=4dec0a3990dd0094&srepoch=1710293236&all_sr_blocks=2007221_95144766_0_2_0&highlighted_blocks=2007221_95144766_0_2_0&matching_block_id=2007221_95144766_0_2_0&sr_pri_blocks=2007221_95144766_0_2_0__31280&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,50.8521715,4.3542272
Hotel de Maître de Vaughan,341,9.1,Superb,217,"28 Rue Potagère, Sint-Joost-ten-Node, 1210 Brussels, Belgium",https://www.booking.com/hotel/be/place-bb.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&dest_id=-1955538&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=77&sr_order=popularity&srpvid=c1430a39660200ff&srepoch=1710293236&all_sr_blocks=953144503_367870788_0_0_0&highlighted_blocks=953144503_367870788_0_0_0&matching_block_id=953144503_367870788_0_0_0&sr_pri_blocks=953144503_367870788_0_0_0__31200&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,50.8518978,4.3712364
Apartament duplex,441,7.9,Good,11,"Pt Rue des Bouchers 3, 1000 Brussels, Belgium",https://www.booking.com/hotel/be/apartament-duplex.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&dest_id=-1955538&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=408&sr_order=popularity&srpvid=f5750a3b48830060&srepoch=1710293241&all_sr_blocks=1084049701_381311687_2_0_0&highlighted_blocks=1084049701_381311687_2_0_0&matching_block_id=1084049701_381311687_2_0_0&sr_pri_blocks=1084049701_381311687_2_0_0__40376&from=searchresults#hotelTmpl,50.8474374,4.3531084
OPO Hotel,399,8.8,Fabulous,331,"2 Rue de la Vierge Noire, 1000 Brussels, Belgium",https://www.booking.com/hotel/be/opo-bruxelles3.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&dest_id=-1955538&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=262&sr_order=popularity&srpvid=478c0a3ab97100e2&srepoch=1710293239&all_sr_blocks=1027531010_375507554_2_0_0&highlighted_blocks=1027531010_375507554_2_0_0&matching_block_id=1027531010_375507554_2_0_0&sr_pri_blocks=1027531010_375507554_2_0_0__35739&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,50.8497278,4.3489704
First Euroflat Hotel,272,7.7,Good,4118,"Boulevard Charlemagne 50, 1000 Brussels, Belgium",https://www.booking.com/hotel/be/euroflat.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&dest_id=-1955538&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=44&sr_order=popularity&srpvid=fae40a39af620107&srepoch=1710293236&all_sr_blocks=2003907_189935250_2_2_0&highlighted_blocks=2003907_189935250_2_2_0&matching_block_id=2003907_189935250_2_2_0&sr_pri_blocks=2003907_189935250_2_2_0__24928&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,50.84498259999999,4.382027799999999
Ibis Brussels Erasmus,184,7.7,Good,2077,"Route de Lennik, 790, Anderlecht, 1070 Brussels, Belgium",https://www.booking.com/hotel/be/comfortinnerasme.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&dest_id=-1955538&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=86&sr_order=popularity&srpvid=c1430a39660200ff&srepoch=1710293236&all_sr_blocks=2043710_95145143_2_42_0&highlighted_blocks=2043710_95145143_2_42_0&matching_block_id=2043710_95145143_2_42_0&sr_pri_blocks=2043710_95145143_2_42_0__16796&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,50.8151804,4.2721235
Hôtel Belvue,304,7.0,Good,1358,"1, Rue Evariste Pierron, Sint-Jans-Molenbeek / Molenbeek-Saint-Jean, 1080 Brussels, Belgium",https://www.booking.com/hotel/be/belvue.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&dest_id=-1955538&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=181&sr_order=popularity&srpvid=c2360a39463100dc&srepoch=1710293236&all_sr_blocks=132834701_359010203_2_2_0&highlighted_blocks=132834701_359010203_2_2_0&matching_block_id=132834701_359010203_2_2_0&sr_pri_blocks=132834701_359010203_2_2_0__27800&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,50.8510484,4.3370425
Modern & Comfortable City Center Oasis~King Bed !,278,N/A,Superb,N/A,"19 Rue Eloy, Anderlecht, 1070 Brussels, Belgium",https://www.booking.com/hotel/be/modern-amp-comfortable-city-center-oasis-king-bed.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&dest_id=-1955538&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=316&sr_order=popularity&srpvid=a99e0a3a5f7801f7&srepoch=1710293239&all_sr_blocks=1141817301_387020696_2_0_0&highlighted_blocks=1141817301_387020696_2_0_0&matching_block_id=1141817301_387020696_2_0_0&sr_pri_blocks=1141817301_387020696_2_0_0__25480&from=searchresults#hotelTmpl,50.83637170000001,4.3308216
The Brussels-Laken Appartement,374,9.5,Exceptional,200,"19 Richard Neyberghlaan, Laeken, 1020 Brussels, Belgium",https://www.booking.com/hotel/be/brussel-laken-appartement.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaIkCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALzqoSvBsACAdICJDdkYTdmNzI2LWFmMDAtNDI1ZS1iYzEzLWQ4NjcyYWE5Nzg5MdgCBuACAQ&sid=c45c21f5902c4e10ad5d351fa329f20a&aid=304142&ucfs=1&arphpl=1&checkin=2024-08-03&checkout=2024-08-05&dest_id=-1955538&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=324&sr_order=popularity&srpvid=a99e0a3a5f7801f7&srepoch=1710293239&all_sr_blocks=757378201_332701144_4_0_0&highlighted_blocks=757378201_332701144_4_0_0&matching_block_id=757378201_332701144_4_0_0&sr_pri_blocks=757378201_332701144_4_0_0__34200&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,50.87683089999999,4.3449604
